run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
59,2025-05-29 01:30:00,2025-08-06 03:10:00,2025-08-06 03:20:00,2025-08-07 03:10:00,9936,144,0.19263550264971757,0.24275944131982907,0.9949372139072229,11.359466787202686,23.50443687067172,0.9932106948032012,0.008298174653934063,0.016395227210305584,0.9948090643413089
60,2025-05-29 01:30:00,2025-08-07 03:10:00,2025-08-07 03:20:00,2025-08-08 03:10:00,10080,144,0.2001543996620394,0.2570911195350199,0.9946447990823397,14.183201266880133,28.878513873914468,0.9902101997383558,0.007845195448199638,0.014618272717386993,0.9959764749556452
61,2025-05-29 01:30:00,2025-08-08 03:10:00,2025-08-08 03:20:00,2025-08-09 03:10:00,10224,144,0.19469328637982383,0.2668961803630761,0.9920774212608571,22.417127301418798,42.999172552024724,0.9690187408337994,0.015237081279796335,0.032444286043434786,0.9773195130941641
62,2025-05-29 01:30:00,2025-08-09 03:10:00,2025-08-09 03:20:00,2025-08-10 03:10:00,10368,144,0.35650413361392075,0.49267498404931187,0.9733840311429093,23.168919950214324,36.04774763054238,0.9733775529107418,0.016633817327811367,0.030572207756463864,0.9697404324090247
63,2025-05-29 01:30:00,2025-08-10 03:10:00,2025-08-10 03:20:00,2025-08-11 03:10:00,10512,144,0.6079828947347791,0.8657940444793393,0.9461113159372163,26.802478245691987,52.68006693745796,0.9589770341492669,0.024721858090246393,0.044632952219595984,0.9500743218031814
64,2025-05-29 01:30:00,2025-08-11 03:10:00,2025-08-11 03:20:00,2025-08-12 03:10:00,10656,144,0.7115326567034583,1.0505843567511592,0.9168309437685124,30.07726484741709,55.42129591563515,0.9509466722809741,0.028219708868097756,0.04403868339619901,0.9487686384486493
65,2025-05-29 01:30:00,2025-08-12 03:10:00,2025-08-12 03:20:00,2025-08-13 03:10:00,10800,144,0.6635474771940189,0.8365741173421194,0.941903732269949,37.79802796622003,72.93669169218485,0.898581003484475,0.031128092916886157,0.06138811647718443,0.8954597290471763
66,2025-05-29 01:30:00,2025-08-13 03:10:00,2025-08-13 03:20:00,2025-08-14 03:10:00,10944,144,0.565669374029086,0.7433175239900585,0.9618210359747514,32.20669082392564,53.043465513839976,0.9556235480998646,0.025962162384151215,0.04201618956711958,0.9596557837543009
67,2025-05-29 01:30:00,2025-08-14 03:10:00,2025-08-14 03:20:00,2025-08-15 03:10:00,11088,144,0.7921373431969781,1.1493163799472974,0.9361102727626898,35.25494475422869,64.63792988446802,0.9406558517690893,0.028807153557305905,0.050823268622409226,0.9443774911803738
68,2025-05-29 01:30:00,2025-08-15 03:10:00,2025-08-15 03:20:00,2025-08-16 03:10:00,11232,144,0.7099445188000936,1.098881892901832,0.9459066684068452,41.83832049009368,61.5941000258507,0.9561026731591334,0.02994290544000637,0.04638689504816409,0.957968128581385
69,2025-05-29 01:30:00,2025-08-16 03:10:00,2025-08-16 03:20:00,2025-08-17 03:10:00,11376,144,0.8091437120389432,1.117183023803374,0.9031010637719412,27.43625661445718,51.78289410059623,0.9692619416336216,0.021038304589464644,0.040958076170291055,0.9696395845944923
70,2025-05-29 01:30:00,2025-08-17 03:10:00,2025-08-17 03:20:00,2025-08-18 03:10:00,11520,144,0.9363785570028248,1.0994225190213947,0.8682223576555074,34.6040196480167,66.65537964339484,0.9472910747171732,0.028102804773018138,0.051848722044214944,0.9478978036461604
